driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,sentiConfi,sentiment,siteCode,trigger
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-30 00:00:00,3.0,I wish I bought one with a timer,Three Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Lori Mattingly, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-29 00:00:00,4.0,works well,Four Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,JJani, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-29 00:00:00,2.0,I Put it away- difficult to control heat. Did not like it.,I Put it away- difficult to control heat. Did not like it.,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Susan Damegreene, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-29 00:00:00,5.0,Was looking for a heater for my office and this one is great. It is small enough to fit under my desk. You can either turn the heater on for when it is cold or you can turn the fan on when it gets hot. Awesome!,Great product for the price!,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Brad S, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,4.0,"It heats up a small room and is perfect if you're just wanting to heat the bathroom before you shower. It does have a safety feature that I like and it's compact. But, it's not as economical as I thought it would be. And it doesn't do much for a larger room. If you get it for the purpose of heating a small room, you'll be very happy with it.",Heats Small Rooms Great!,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Sheila English, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,5.0,it looks very well made. and i am sure it will do the job just fine,Five Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,mini, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,5.0,Compact yet packs a heat-punch,Five Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,NK, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-28 00:00:00,1.0,Quit working after using for 2 months. Junk!!!!,Stay away,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-27 00:00:00,4.0,My dorm had little to no heat and it was in Minnesota winter. This kept me very warm through the whole winter. When it got too hot too the no heat fan feature helped alot,Super warm,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Valary d., , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_2?ie=UTF8&qid=1496148259&sr=8-2&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-27 00:00:00,4.0,"nice little heater. Carrying handle could be a little more user friendly, uncomfortable carrying by handle",Four Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Ronald Meadows, , ,AM, 
